dimension=2
xi=100
eta=40
x                    y                   
0.000000             0.000000            
0.000000             0.015385            
0.000000             0.030769            
0.000000             0.046154            
0.000000             0.061538            
0.000000             0.076923            
0.000000             0.092308            
0.000000             0.107692            
0.000000             0.123077            
0.000000             0.138462            
0.000000             0.153846            
0.000000             0.169231            
0.000000             0.184615            
0.000000             0.200000            
0.000000             0.215385            
0.000000             0.230769            
0.000000             0.246154            
0.000000             0.261538            
0.000000             0.276923            
0.000000             0.292308            
0.000000             0.307692            
0.000000             0.323077            
0.000000             0.338462            
0.000000             0.353846            
0.000000             0.369231            
0.000000             0.384615            
0.000000             0.400000            
0.000000             0.415385            
0.000000             0.430769            
0.000000             0.446154            
0.000000             0.461538            
0.000000             0.476923            
0.000000             0.492308            
0.000000             0.507692            
0.000000             0.523077            
0.000000             0.538462            
0.000000             0.553846            
0.000000             0.569231            
0.000000             0.584615            
0.000000             0.600000            
0.010620             0.000000            
0.010606             0.015385            
0.010593             0.030769            
0.010580             0.046154            
0.010566             0.061538            
0.010553             0.076923            
0.010540             0.092308            
0.010527             0.107692            
0.010513             0.123077            
0.010500             0.138462            
0.010487             0.153846            
0.010473             0.169231            
0.010460             0.184615            
0.010447             0.200000            
0.010433             0.215385            
0.010420             0.230769            
0.010407             0.246154            
0.010394             0.261538            
0.010380             0.276923            
0.010367             0.292308            
0.010354             0.307692            
0.010340             0.323077            
0.010327             0.338462            
0.010314             0.353846            
0.010300             0.369231            
0.010287             0.384615            
0.010274             0.400000            
0.010261             0.415385            
0.010247             0.430769            
0.010234             0.446154            
0.010221             0.461538            
0.010207             0.476923            
0.010194             0.492308            
0.010181             0.507692            
0.010167             0.523077            
0.010154             0.538462            
0.010141             0.553846            
0.010128             0.569231            
0.010114             0.584615            
0.010101             0.600000            
0.021239             0.000000            
0.021213             0.015385            
0.021186             0.030769            
0.021159             0.046154            
0.021133             0.061538            
0.021106             0.076923            
0.021080             0.092308            
0.021053             0.107692            
0.021026             0.123077            
0.021000             0.138462            
0.020973             0.153846            
0.020947             0.169231            
0.020920             0.184615            
0.020893             0.200000            
0.020867             0.215385            
0.020840             0.230769            
0.020814             0.246154            
0.020787             0.261538            
0.020761             0.276923            
0.020734             0.292308            
0.020707             0.307692            
0.020681             0.323077            
0.020654             0.338462            
0.020628             0.353846            
0.020601             0.369231            
